Epoch 178, RMSE: 0.610221909594364, R^2: 0.6276, MSE: 0.37237077894899206
Epoch 179, RMSE: 0.6101314157526027, R^2: 0.6277, MSE: 0.3722603444882752
Epoch 180, RMSE: 0.6100418661431891, R^2: 0.6278, MSE: 0.3721510784474647
Epoch 181, RMSE: 0.6099532430326614, R^2: 0.6280, MSE: 0.3720429586860609
Epoch 182, RMSE: 0.6098655291652323, R^2: 0.6281, MSE: 0.37193596366398884
Epoch 183, RMSE: 0.6097787077475518, R^2: 0.6282, MSE: 0.37183007242227417
Epoch 184, RMSE: 0.6096927624340016, R^2: 0.6283, MSE: 0.37172526456440397
Epoch 185, RMSE: 0.6096076773125028, R^2: 0.6284, MSE: 0.3716215202383445
Epoch 186, RMSE: 0.6095234368908163, R^2: 0.6285, MSE: 0.3715188201191929
Epoch 187, RMSE: 0.6094400260833193, R^2: 0.6286, MSE: 0.3714171453924368
Epoch 188, RMSE: 0.6093574301982385, R^2: 0.6287, MSE: 0.3713164777378012
Epoch 189, RMSE: 0.6092756349253253, R^2: 0.6288, MSE: 0.37121679931365825
Epoch 190, RMSE: 0.6091946263239532, R^2: 0.6289, MSE: 0.3711180927419809
Epoch 191, RMSE: 0.6091143908116257, R^2: 0.6290, MSE: 0.3710203410938178
Epoch 192, RMSE: 0.6090349151528777, R^2: 0.6291, MSE: 0.3709235278752729
Epoch 193, RMSE: 0.6089561864485553, R^2: 0.6292, MSE: 0.37082763701396765
Epoch 194, RMSE: 0.6088781921254618, R^2: 0.6293, MSE: 0.37073265284597073
Epoch 195, RMSE: 0.6088009199263555, R^2: 0.6294, MSE: 0.3706385601031768
Epoch 196, RMSE: 0.608724357900287, R^2: 0.6295, MSE: 0.37054534390111676
Epoch 197, RMSE: 0.6086484943932633, R^2: 0.6295, MSE: 0.3704529897271862
Epoch 198, RMSE: 0.6085733180392265, R^2: 0.6296, MSE: 0.37036148342927355
Epoch 199, RMSE: 0.608498817751338, R^2: 0.6297, MSE: 0.37027081120477606
Epoch 200, RMSE: 0.6084249827135532, R^2: 0.6298, MSE: 0.3701809595899874
Epoch 201, RMSE: 0.6083518023724799, R^2: 0.6299, MSE: 0.3700919154498449
Epoch 202, RMSE: 0.6082792664295094, R^2: 0.6300, MSE: 0.370003665968022
Epoch 203, RMSE: 0.6082073648332075, R^2: 0.6301, MSE: 0.36991619863735437
Epoch 204, RMSE: 0.6081360877719618, R^2: 0.6302, MSE: 0.3698295012505872
Epoch 205, RMSE: 0.6080654256668706, R^2: 0.6303, MSE: 0.3697435618914326
Epoch 206, RMSE: 0.6079953691648682, R^2: 0.6303, MSE: 0.36965836892592435
Epoch 207, RMSE: 0.6079259091320768, R^2: 0.6304, MSE: 0.3695739109940621
Epoch 208, RMSE: 0.6078570366473778, R^2: 0.6305, MSE: 0.3694901770017316
Epoch 209, RMSE: 0.6077887429961938, R^2: 0.6306, MSE: 0.36940715611289326
Epoch 210, RMSE: 0.6077210196644748, R^2: 0.6307, MSE: 0.369324837742029
Epoch 211, RMSE: 0.6076538583328813, R^2: 0.6308, MSE: 0.36924321154683737
Epoch 212, RMSE: 0.6075872508711556, R^2: 0.6308, MSE: 0.36916226742116864
Epoch 213, RMSE: 0.6075211893326786, R^2: 0.6309, MSE: 0.3690819954881923
Epoch 214, RMSE: 0.6074556659492011, R^2: 0.6310, MSE: 0.3690023860937873
Epoch 215, RMSE: 0.6073906731257466, R^2: 0.6311, MSE: 0.36892342980014753
Epoch 216, RMSE: 0.607326203435679, R^2: 0.6312, MSE: 0.3688451173795958
Epoch 217, RMSE: 0.6072622496159286, R^2: 0.6312, MSE: 0.36876743980859833
Epoch 218, RMSE: 0.6071988045623712, R^2: 0.6313, MSE: 0.3686903882619727
Epoch 219, RMSE: 0.6071358613253565, R^2: 0.6314, MSE: 0.36861395410728254
Epoch 220, RMSE: 0.6070734131053779, R^2: 0.6315, MSE: 0.36853812889941284
